Field Mapping for Square Hidden Attributes,,,,
Source Attribute,Hidden Attributes,,Source Attribute,Hidden Attribute
Gems →,Gem Color,Gem Type,Piercing Types →,Body Placement
Alexandrite,Purple,Colored Gemstone,Earlobe,Ear
Amythyst,Purple,Colored Gemstone,Helix,Ear
Light Amythyst,Purple,Colored Gemstone,Forward Helix,Ear
Midnight,Purple,Colored Gemstone,Vertical Helix,Ear
Mystic Topaz,Purple,Created Gemstones,Conch,Ear
Purple Diamond,Purple,Diamond,Tragus,Ear
Tanzanite,Purple,Colored Gemstone,Rook,Ear
Aquamarine Cabochon,Blue,Colored Gemstone,Daith,Ear
Blue Sapphire,Blue,Colored Gemstone,Industrial,Ear
Blue Zircon,Blue,Colored Gemstone,Eyebrow,Face
Ice Blue Diamond,Blue,Diamond,Bridge,Face
Ice BlueTopaz,Blue,Created Gemstones,Surface Piercing,Surface / Dermal
Lapis Cabochon,Blue,Natural Gemstones,Face Dermal,Face
London Blue Topaz,Blue,Created Gemstones,Nostril,Nose
Ocean Blue Topaz,Blue,Created Gemstones,Septum,Nose
Polar Sapphire,Blue,Colored Gemstone,Tongue,Oral
Swiss Blue Topaz,Blue,Created Gemstones,Smiley/Frownie,Oral
Apatie,Aqua,Colored Gemstone,Classic Lip,Oral
Aqua Chalcedony Cabochon,Aqua,Natural Gemstones,Vertical Lip,Oral
Aquamarine Cabochon,Aqua,Colored Gemstone,Navel,Navel
Mint Beryl,Aqua,Colored Gemstone,Nipple,Nipple
Paraiba Topaz,Aqua,Created Gemstones,Back Dermals,Surface / Dermal
Seafoam Tourmaline,Aqua,Colored Gemstone,Labia,AFAM Genital
Chrome Tsavorite,Green,Colored Gemstone,Christina,AFAM Genital
Chrysoprase,Green,Natural Gemstones,VCH,AFAM Genital
Demantoid Garnet,Green,Colored Gemstone,Fourchette,AFAM Genital
Emerald,Green,Colored Gemstone,Frenum,AMAB Genital
Emerald Green Diamond,Green,Diamond,Prince Albert,AMAB Genital
Forest Green Diamond,Green,Diamond,Reverse Prince Albert,AMAB Genital
Green Quartz,Green,Natural Gemstones,Scrotum,AMAB Genital
Green Tourmaline,Green,Colored Gemstone,Apadravya,AMAB Genital
Ice Green Diamond,Green,Diamond,Ampllang,AMAB Genital
Moss Agate,Green,Natural Gemstones,Guchie,AMAB Genital
Peridot,Green,Colored Gemstone,,
Pine Green Diamond,Green,Diamond,,
Rainforest Topaz,Green,Created Gemstones,,
Tsavorite,Green,Colored Gemstone,,
Canary Yellow Diamond,Yellow,Diamond,,
Citrine,Yellow,Colored Gemstone,,
Golden Yellow Diamond,Yellow,Diamond,,
Honey Topaz,Yellow,Colored Gemstone,,
Yellow Sapphire,Yellow,Colored Gemstone,,
Anastasia Topaz,Orange,Created Gemstones,,
Madeira Citrine,Orange,Colored Gemstone,,
Mexican Fire Opal,Orange,Natural Gemstones,,
Orange Cognac Diamond,Orange,Diamond,,
Orange Sapphire,Orange,Colored Gemstone,,
Poppy Topaz,Orange,Created Gemstones,,
Deluxe Red Diamond,Red,Diamond,,
Garnet,Red,Colored Gemstone,,
Red Spinel,Red,Colored Gemstone,,
Ruby,Red,Colored Gemstone,,
Baby Pink Diamond,Pink,Diamond,,
Hot Pink Sapphire,Pink,Colored Gemstone,,
Light Pink Sapphire,Pink,Colored Gemstone,,
Morganite,Pink,Colored Gemstone,,
Peach Topaz,Pink,Colored Gemstone,,
Pink Sapphire,Pink,Colored Gemstone,,
Pink Topaz,Pink,Created Gemstones,,
Pink Tourmaline,Pink,Colored Gemstone,,
Rhodolite,Pink,Colored Gemstone,,
Rose Pink Diamond,Pink,Diamond,,
Black Diamond,Black,Diamond,,
Black Onyx,Black,Natural Gemstones,,
Tourmalinated Quartz,Black,Natural Gemstones,,
Grey Diamond,Grey,Diamond,,
Grey Sapphire,Grey,Colored Gemstone,,
Labradorite,Grey,Natural Gemstones,,
Champagne Diamond,Brown,Diamond,,
Champagne Sapphire,Brown,Colored Gemstone,,
Chocolate Diamond,Brown,Diamond,,
Golden Rutilated Quartz,Brown,Natural Gemstones,,
Oregon Sunstone,Brown,Natural Gemstones,,
Smoky Quartz,Brown,Natural Gemstones,,
Mercury Mist Topaz,White,Created Gemstones,,
Rainbow Moonstone,White,Natural Gemstones,,
White Diamond VS1,White,Diamond,,
White Sapphire,White,Colored Gemstone,,
