Attribute:,Featured & Popular,Metal Types,Metal Colors,Gem Shapes,Gems,,Jewelry Types,Gauge Size,Gender,Piercing Types,Body Placements
Purpose/Group:,Misc for Priority Presentation,Materials,,,,Shapes & Looks,Discovery Facets,,,,Hidden/Dynamic (Mapped From Piercing Types)
,Featured,14K Gold,Yellow,Classic Round Brilliant,Alexandrite,End Shape {SUB-GROUP},Threadless Ends / Tops,18 ga.,Gender Neutral,Earlobe,Ear
,Category Featured,18K Gold,Rose,Square,Amythyst,Moon,Int. Threaded Ends / Tops,16 ga.,Women,Helix,Face
,Best Seller,Titanium ASTM F136,White,Oval,Light Amythyst,Rose,Hinged Rings / Clickers,14 ga.,Men,Forward Helix,Nose
,Popular,950 Platinum,,Trillion,Midnight,Star,Seam Ring,12 ga.,,Vertical Helix,Oral
,,,,Emerald,Mystic Topaz,Bar,Faux Captive Bead Ring,,,Conch,Navel
,,,,Heart,Purple Diamond,Heart,Round Disc Flatback,,,Tragus,Nipple
,,,,Marquise,Tanzanite,Sun,Heart Shape Flatback,,,Rook,Surface / Dermal
,,,,Pear,Aquamarine Cabochon,Flower,Gemstone Flatback,,,Daith,AFAM Genital
,,,,Princess,Blue Sapphire,Lady Bug,Straight Barbell,,,Industrial,AMAB Genital
,,,,Straight Baguette,Blue Zircon,Skull,Circular Barbell,,,Eyebrow,
,,,,Tapered Bagutte,Ice Blue Diamond,Dagger,C-Curved Barbells,,,Bridge,
,,,,Rose Cut,Ice BlueTopaz,Looks & Vibes {SUB-GROUP,J-Curved Barbells,,,Surface Piercing,
,,,,Kit,Lapis Cabochon,Dangles,Navel Jewelry,,,Face Dermal,
,,,,Bullet,London Blue Topaz,Charms,Plugs & Eyelets,,,Nostril,
,,,,Faceted Bullet,Ocean Blue Topaz,Chains,Hanging Shapes & Weights,,,Septum,
,,,,Coffin Cut,Polar Sapphire,Celestial,Piercing Retainers,,,Tongue,
,,,,Pennant,Swiss Blue Topaz,Nature,,,,Smiley/Frownie,
,,,,Half Moon,Apatie,Timeless Minimalism,,,,Classic Lip,
,,,,Cabochon,Aqua Chalcedony Cabochon,Statement Pieces,,,,Vertical Lip,
,,,,Other,Aquamarine Cabochon,,,,,Navel,
,,,,,Mint Beryl,,,,,Nipple,
,,,,,Paraiba Topaz,,,,,Back Dermals,
,,,,,Seafoam Tourmaline,,,,,Labia,
,,,,,Chrome Tsavorite,,,,,Christina,
,,,,,Chrysoprase,,,,,VCH,
,,,,,Demantoid Garnet,,,,,Fourchette,
,,,,,Emerald,,,,,Frenum,
,,,,,Emerald Green Diamond,,,,,Prince Albert,
,,,,,Forest Green Diamond,,,,,Reverse Prince Albert,
,,,,,Green Quartz,,,,,Scrotum,
,,,,,Green Tourmaline,,,,,Apadravya,
,,,,,Ice Green Diamond,,,,,Ampllang,
,,,,,Moss Agate,,,,,Guchie,
,,,,,Peridot,,,,,,
,,,,,Pine Green Diamond,,,,,,
,,,,,Rainforest Topaz,,,,,,
,,,,,Tsavorite,,,,,,
,,,,,Canary Yellow Diamond,,,,,,
,,,,,Citrine,,,,,,
,,,,,Golden Yellow Diamond,,,,,,
,,,,,Honey Topaz,,,,,,
,,,,,Yellow Sapphire,,,,,,
,,,,,Anastasia Topaz,,,,,,
,,,,,Madeira Citrine,,,,,,
,,,,,Mexican Fire Opal,,,,,,
,,,,,Orange Cognac Diamond,,,,,,
,,,,,Orange Sapphire,,,,,,
,,,,,Poppy Topaz,,,,,,
,,,,,Deluxe Red Diamond,,,,,,
,,,,,Garnet,,,,,,
,,,,,Red Spinel,,,,,,
,,,,,Ruby,,,,,,
,,,,,Baby Pink Diamond,,,,,,
,,,,,Hot Pink Sapphire,,,,,,
,,,,,Light Pink Sapphire,,,,,,
,,,,,Morganite,,,,,,
,,,,,Peach Topaz,,,,,,
,,,,,Pink Sapphire,,,,,,
,,,,,Pink Topaz,,,,,,
,,,,,Pink Tourmaline,,,,,,
,,,,,Rhodolite,,,,,,
,,,,,Rose Pink Diamond,,,,,,
,,,,,Black Diamond,,,,,,
,,,,,Black Onyx,,,,,,
,,,,,Tourmalinated Quartz,,,,,,
,,,,,Grey Diamond,,,,,,
,,,,,Grey Sapphire,,,,,,
,,,,,Labradorite,,,,,,
,,,,,Champagne Diamond,,,,,,
,,,,,Champagne Sapphire,,,,,,
,,,,,Chocolate Diamond,,,,,,
,,,,,Golden Rutilated Quartz,,,,,,
,,,,,Oregon Sunstone,,,,,,
,,,,,Smoky Quartz,,,,,,
,,,,,Mercury Mist Topaz,,,,,,
,,,,,Rainbow Moonstone,,,,,,
,,,,,White Diamond VS1,,,,,,
,,,,,White Sapphire,,,,,,
